date,geo,channel,spend,impressions,clicks,is_treatment_geo
2024-01-01,IE,search,481.63676765589025,85721,3352,1
2024-01-02,IE,search,462.14385845130005,82252,3216,1
2024-01-03,IE,search,879.2095197069934,156481,6119,1
2024-01-04,IE,search,633.2358815810052,112702,4407,1
2024-01-05,IE,search,492.2115589649457,87603,3426,1
2024-01-06,IE,search,611.6510252371946,108861,4257,1
2024-01-07,IE,search,874.9356538542937,155720,6090,1
2024-01-08,IE,search,357.46344241489794,63621,2488,1
2024-01-09,IE,search,470.8743175894985,83805,3277,1
2024-01-10,IE,search,560.3744926590197,99735,3900,1
2024-01-11,IE,search,1051.7805229549137,187195,7321,1
2024-01-12,IE,search,709.2949553604052,126239,4937,1
2024-01-13,IE,search,778.9453032444145,138636,5422,1
2024-01-14,IE,search,463.6175690680327,82514,3227,1
2024-01-15,IE,search,494.80792133442316,88065,3444,1
2024-01-16,IE,search,811.6245777916557,144452,5649,1
2024-01-17,IE,search,737.547367675447,131268,5133,1
2024-01-18,IE,search,814.648335356624,144990,5670,1
2024-01-19,IE,search,621.7880153822275,110665,4328,1
2024-01-20,IE,search,679.2384508876432,120890,4728,1
2024-01-21,IE,search,666.8588530583489,118687,4641,1
2024-01-22,IE,search,841.6923467566231,149803,5858,1
2024-01-23,IE,search,897.4993255531629,159736,6247,1
2024-01-24,IE,search,461.0236496391086,82052,3209,1
2024-01-25,IE,search,372.36496610030207,66273,2591,1
2024-01-26,IE,search,867.5176107311596,154400,6038,1
2024-01-27,IE,search,876.2531455480678,155955,6099,1
2024-01-28,IE,search,479.39774571283857,85322,3336,1
2024-01-29,IE,search,402.17438206700905,71578,2799,1
2024-01-30,IE,search,736.1101735334001,131012,5123,1
2024-01-31,IE,search,941.6636997733011,167596,6554,1
2024-02-01,IE,search,1155.6706765421206,205685,8044,1
2024-02-02,IE,search,757.2628514807733,134777,5271,1
2024-02-03,IE,search,566.2362120775308,100778,3941,1
2024-02-04,IE,search,496.82034958345344,88423,3458,1
2024-02-05,IE,search,679.1527437914905,120875,4727,1
2024-02-06,IE,search,658.4284984693131,117186,4583,1
2024-02-07,IE,search,546.0958376874929,97193,3801,1
2024-02-08,IE,search,1239.869291201811,220671,8630,1
2024-02-09,IE,search,1080.3002096694486,192271,7519,1
2024-02-10,IE,search,863.6655797552434,153714,6011,1
2024-02-11,IE,search,492.979185838515,87740,3431,1
2024-02-12,IE,search,860.0969413830937,153079,5986,1
2024-02-13,IE,search,856.4067552145982,152422,5961,1
2024-02-14,IE,search,821.3310661590857,146180,5717,1
2024-02-15,IE,search,991.2987333311404,176430,6900,1
2024-02-16,IE,search,782.9360509593567,139346,5449,1
2024-02-17,IE,search,773.013094414457,137580,5380,1
2024-02-18,IE,search,762.5276914575014,135714,5307,1
2024-02-19,IE,search,744.759456357294,132551,5184,1
2024-02-20,IE,search,434.5186790870093,77335,3024,1
2024-02-21,IE,search,742.800425656095,132203,5170,1
2024-02-22,IE,search,597.8715383149479,106408,4161,1
2024-02-23,IE,search,457.96448282402156,81508,3187,1
2024-02-24,IE,search,1006.2649194616665,179094,7004,1
2024-02-25,IE,search,1035.2764387237514,184257,7206,1
2024-02-26,IE,search,990.5114864734006,176290,6894,1
2024-02-27,IE,search,769.0144859116318,136868,5352,1
2024-02-28,IE,search,1059.1145784669718,188500,7372,1
2024-02-29,IE,search,700.983641664757,124760,4879,1
2024-03-01,IE,search,693.6242160047776,123450,4828,1
2024-03-02,IE,search,462.62649316029047,82337,3220,1
2024-03-03,IE,search,712.9866028479299,126896,4962,1
2024-03-04,IE,search,688.5223328375153,122542,4792,1
2024-03-05,IE,search,497.15778831604433,88483,3460,1
2024-03-06,IE,search,715.2830292961746,127305,4978,1
2024-03-07,IE,search,683.1984560557711,121595,4755,1
2024-03-08,IE,search,1084.0553347213795,192939,7545,1
2024-03-09,IE,search,807.1194978879471,143650,5618,1
2024-03-10,IE,search,640.026632064744,113911,4455,1
2024-03-11,IE,search,725.8186145376558,129180,5052,1
2024-03-12,IE,search,724.8969565189904,129016,5045,1
2024-03-13,IE,search,685.5336493480709,122010,4771,1
2024-03-14,IE,search,515.9604138591778,91830,3591,1
2024-03-15,IE,search,628.1962232683691,111805,4372,1
2024-03-16,IE,search,509.8846329107562,90748,3549,1
2024-03-17,IE,search,449.53634818937695,80008,3129,1
2024-03-18,IE,search,781.161412564169,139030,5437,1
2024-03-19,IE,search,798.8747337795528,142183,5560,1
2024-03-20,IE,search,439.982695470611,78307,3062,1
2024-03-21,IE,search,675.0305586902949,120141,4698,1
2024-03-22,IE,search,866.0507320402257,154139,6028,1
2024-03-23,IE,search,845.2856764865821,150443,5883,1
2024-03-24,IE,search,850.2576159478687,151328,5918,1
2024-03-25,IE,search,684.395106930119,121808,4763,1
2024-03-26,IE,search,565.1195818893401,100579,3933,1
2024-03-27,IE,search,535.7018890416665,95343,3728,1
2024-03-28,IE,search,769.3908007178092,136935,5355,1
2024-03-29,IE,search,728.7607657463941,129704,5072,1
2024-03-30,IE,search,901.0355502454971,160365,6271,1
2024-03-31,IE,search,868.0934474683451,154502,6042,1
2024-04-01,IE,search,652.372469336457,116108,4540,1
2024-04-02,IE,search,505.3606859121572,89943,3517,1
2024-04-03,IE,search,663.5894457693122,118105,4619,1
2024-04-04,IE,search,742.4343097361171,132138,5167,1
2024-04-05,IE,search,619.2838886086221,110219,4310,1
2024-04-06,IE,search,534.4732335975784,95125,3720,1
2024-04-07,IE,search,684.790404997176,121878,4766,1
2024-04-08,IE,search,587.8851037591834,104631,4092,1
2024-04-09,IE,search,600.5173576924063,106879,4180,1
2024-04-10,IE,search,791.7298969565535,140911,5511,1
2024-04-11,IE,search,624.2505049461183,111103,4345,1
2024-04-12,IE,search,701.6932408952941,124886,4884,1
2024-04-13,IE,search,678.2996340297028,120723,4721,1
2024-04-14,IE,search,463.71259122127566,82531,3227,1
2024-04-15,IE,search,591.6363544111051,105299,4118,1
2024-04-16,IE,search,1070.8709765559545,190592,7454,1
2024-04-17,IE,search,524.0731308534505,93274,3647,1
2024-04-18,IE,search,386.23516309241046,68741,2688,1
2024-04-19,IE,search,389.09769572891076,69251,2708,1
2024-04-20,IE,search,633.489095844026,112748,4409,1
2024-04-21,IE,search,643.5256606896033,114534,4479,1
2024-04-22,IE,search,655.0480915220562,116585,4559,1
2024-04-23,IE,search,1005.8851730473015,179026,7001,1
2024-04-24,IE,search,343.30520416315466,61101,2389,1
2024-04-25,IE,search,780.5284149048625,138917,5433,1
2024-04-26,IE,search,1014.7015383342122,180595,7063,1
2024-04-27,IE,search,458.20349050013914,81550,3189,1
2024-04-28,IE,search,573.6154601949875,102091,3992,1
2024-04-29,IE,search,548.3040439445789,97586,3816,1
2024-04-30,IE,search,557.3721541037737,99200,3879,1
2024-05-01,IE,search,662.2612658209497,117868,4609,1
2024-05-02,IE,search,1041.9044713168876,185437,7252,1
2024-05-03,IE,search,1096.21144148462,195103,7630,1
2024-05-04,IE,search,571.9370992583993,101793,3981,1
2024-05-05,IE,search,1087.592617747794,193569,7570,1
2024-05-06,IE,search,683.7559858811103,121694,4759,1
2024-05-07,IE,search,1169.9116796001117,208220,8143,1
2024-05-08,IE,search,706.9004706302932,125813,4920,1
2024-05-09,IE,search,724.7348412667587,128987,5044,1
2024-05-10,IE,search,725.9491370183663,129204,5053,1
2024-05-11,IE,search,1530.226484070794,272348,10651,1
2024-05-12,IE,search,809.7009857358265,144110,5636,1
2024-05-13,IE,search,555.353932242097,98841,3865,1
2024-05-14,IE,search,939.1445931061653,167148,6537,1
2024-05-15,IE,search,655.6980481104968,116700,4564,1
2024-05-16,IE,search,609.0982649356861,108406,4239,1
2024-05-17,IE,search,845.1849520706711,150425,5883,1
2024-05-18,IE,search,633.8396259912606,112810,4411,1
2024-05-19,IE,search,689.7342104991848,122758,4801,1
2024-05-20,IE,search,679.6347739519726,120960,4730,1
2024-05-21,IE,search,786.736459716232,140022,5476,1
2024-05-22,IE,search,817.2981427746066,145462,5689,1
2024-05-23,IE,search,406.16477187333345,72288,2827,1
2024-05-24,IE,search,789.8060808399665,140569,5497,1
2024-05-25,IE,search,477.2910938791586,84947,3322,1
2024-05-26,IE,search,426.0093554535749,75820,2965,1
2024-05-27,IE,search,665.9965872977164,118533,4635,1
2024-05-28,IE,search,733.0139483796668,130461,5102,1
2024-05-29,IE,search,597.5463026427118,106350,4159,1
2024-05-30,IE,search,881.6530229831483,156916,6136,1
2024-05-31,IE,search,450.04071400723706,80097,3132,1
2024-06-01,IE,search,560.6785532016959,99789,3902,1
2024-06-02,IE,search,541.6068164927773,96394,3769,1
2024-06-03,IE,search,668.2051645460556,118926,4651,1
2024-06-04,IE,search,774.123986197199,137778,5388,1
2024-06-05,IE,search,547.1940402819956,97389,3808,1
2024-06-06,IE,search,855.690555472092,152295,5956,1
2024-06-07,IE,search,666.9984779379396,118711,4642,1
2024-06-08,IE,search,369.9423013147762,65842,2575,1
2024-06-09,IE,search,368.6690882314443,65615,2566,1
2024-06-10,IE,search,674.6474732604073,120073,4696,1
2024-06-11,IE,search,673.0227957844154,119784,4684,1
2024-06-12,IE,search,704.8999437950635,125457,4906,1
2024-06-13,IE,search,693.1695101370364,123369,4824,1
2024-06-14,IE,search,698.0591601900823,124240,4859,1
2024-06-15,IE,search,819.2865436180899,145816,5702,1
2024-06-16,IE,search,467.4048005880734,83188,3253,1
2024-06-17,IE,search,487.59622160748074,86782,3394,1
2024-06-18,IE,search,527.1680455566218,93825,3669,1
2024-06-19,IE,search,786.7497102469687,140025,5476,1
2024-06-20,IE,search,989.9900835884919,176197,6891,1
2024-06-21,IE,search,580.7800176929725,103366,4042,1
2024-06-22,IE,search,311.87923502377214,55508,2170,1
2024-06-23,IE,search,395.91005974905374,70463,2755,1
2024-06-24,IE,search,536.1368320930854,95421,3731,1
2024-06-25,IE,search,612.4614253690039,109005,4263,1
2024-06-26,IE,search,647.2060315894097,115189,4505,1
2024-06-27,IE,search,706.209810189334,125690,4915,1
2024-06-28,IE,search,600.5573424871362,106886,4180,1
2024-06-29,IE,search,842.949535284468,150027,5867,1
2024-06-30,IE,search,527.9598396543236,93965,3674,1
2024-07-01,IE,search,531.7591525047774,94642,3701,1
2024-07-02,IE,search,818.714314561034,145714,5698,1
2024-07-03,IE,search,472.02583594860874,84010,3285,1
2024-07-04,IE,search,779.1653931003522,138675,5423,1
2024-07-05,IE,search,674.4260226191525,120033,4694,1
2024-07-06,IE,search,602.9342211774931,107309,4196,1
2024-07-07,IE,search,995.2782787035915,177139,6927,1
2024-07-08,IE,search,568.7389889259583,101223,3958,1
2024-07-09,IE,search,1274.7859201010142,226885,8873,1
2024-07-10,IE,search,681.2250320215577,121244,4741,1
2024-07-11,IE,search,488.60043830609675,86960,3401,1
2024-07-12,IE,search,668.2915854801328,118942,4651,1
2024-07-13,IE,search,464.86328235889823,82736,3235,1
2024-07-14,IE,search,516.8813896367456,91994,3597,1
2024-07-15,IE,search,756.5805604988332,134655,5266,1
2024-07-16,IE,search,836.4887193215217,148877,5822,1
2024-07-17,IE,search,609.602158233167,108496,4243,1
2024-07-18,IE,search,921.1133496902149,163939,6411,1
2024-07-19,IE,search,906.1902501017213,161283,6307,1
2024-07-20,IE,search,939.4142040774265,167196,6539,1
2024-07-21,IE,search,739.9190728014178,131690,5150,1
2024-07-22,IE,search,991.6792655766424,176498,6902,1
2024-07-23,IE,search,422.85379885238547,75259,2943,1
2024-07-24,IE,search,663.812458278305,118144,4620,1
2024-07-25,IE,search,548.0399516216157,97539,3814,1
2024-07-26,IE,search,677.5818396181209,120595,4716,1
2024-07-27,IE,search,535.4385981371125,95297,3727,1
2024-07-28,IE,search,608.9772248536681,108385,4238,1
2024-07-29,IE,search,1146.7058826353555,204090,7981,1
2024-07-30,IE,search,682.7498269866525,121515,4752,1
2024-07-31,IE,search,814.7451375390008,145007,5671,1
2024-08-01,IE,search,798.6518405793744,142143,5559,1
2024-08-02,IE,search,816.639443806246,145345,5684,1
2024-08-03,IE,search,767.8754390679813,136666,5345,1
2024-08-04,IE,search,882.4363507065555,157055,6142,1
2024-08-05,IE,search,1144.5612597839886,203708,7967,1
2024-08-06,IE,search,1385.437465089777,246579,9643,1
2024-08-07,IE,search,965.4149245230398,171823,6719,1
2024-08-08,IE,search,1005.2923234619434,178921,6997,1
2024-08-09,IE,search,579.2625893755284,103096,4032,1
2024-08-10,IE,search,747.9509290002147,133119,5206,1
2024-08-11,IE,search,1012.7624487724283,180250,7049,1
2024-08-12,IE,search,1052.5402131889339,187330,7326,1
2024-08-13,IE,search,926.81282821902,164953,6451,1
2024-08-14,IE,search,1134.6218110541208,201939,7897,1
2024-08-15,IE,search,977.8684949412984,174040,6806,1
2024-08-16,IE,search,1118.8802774032906,199137,7788,1
2024-08-17,IE,search,831.2772926597789,147950,5786,1
2024-08-18,IE,search,704.5507710512414,125395,4904,1
2024-08-19,IE,search,907.3480420274348,161489,6315,1
2024-08-20,IE,search,384.49642205404666,68432,2676,1
2024-08-21,IE,search,985.4243551214211,175385,6859,1
2024-08-22,IE,search,306.864084532675,54615,2135,1
2024-08-23,IE,search,493.45329077021427,87824,3434,1
2024-08-24,IE,search,869.9520272370556,154833,6055,1
2024-08-25,IE,search,889.6820380926403,158345,6192,1
2024-08-26,IE,search,596.4589940614935,106157,4151,1
2024-08-27,IE,search,715.5935491307943,127360,4981,1
2024-08-28,IE,search,1299.3453457304981,231256,9044,1
2024-08-29,IE,search,744.2909962716009,132468,5180,1
2024-08-30,IE,search,1498.1939780442583,266647,10428,1
2024-08-31,IE,search,766.1709382802699,136362,5333,1
2024-09-01,IE,search,872.5378667448166,155293,6073,1
2024-09-02,IE,search,1298.8251251733723,231164,9040,1
2024-09-03,IE,search,906.1351809181273,161273,6307,1
2024-09-04,IE,search,668.6147568413664,118999,4654,1
