date,geo,sessions,leads,bookings,revenue,is_promo_day,is_treatment_geo
2024-01-01,IE,2222,57,4,7433.799109154204,0,1
2024-01-02,IE,1922,62,14,28693.02815835562,0,1
2024-01-03,IE,2362,73,18,41782.298478865094,0,1
2024-01-04,IE,1819,45,6,13428.105803174481,0,1
2024-01-05,IE,2039,54,7,13136.627741065668,0,1
2024-01-06,IE,1919,57,11,23860.67795576567,0,1
2024-01-07,IE,1978,62,7,15452.671951062071,0,1
2024-01-08,IE,1887,59,6,13161.98626610981,0,1
2024-01-09,IE,2081,56,9,17061.9840104094,0,1
2024-01-10,IE,2023,67,15,32575.30904074116,0,1
2024-01-11,IE,1724,52,12,28521.66596594757,0,1
2024-01-12,IE,2020,57,11,24947.506995897074,0,1
2024-01-13,IE,1796,67,10,22314.326760543987,0,1
2024-01-14,IE,1622,56,5,12918.459221102185,0,1
2024-01-15,IE,1908,62,6,12972.497122880217,0,1
2024-01-16,IE,2001,69,12,22957.926376316296,0,1
2024-01-17,IE,1765,56,7,13381.921760467802,0,1
2024-01-18,IE,1797,58,13,28038.642842851114,0,1
2024-01-19,IE,1582,55,8,14201.17751742882,0,1
2024-01-20,IE,1467,42,7,14208.901534940294,0,1
2024-01-21,IE,1657,55,7,15576.853290477022,0,1
2024-01-22,IE,1866,62,12,29035.779596374716,0,1
2024-01-23,IE,1669,49,7,12214.63109601504,0,1
2024-01-24,IE,2070,54,13,27598.949428753,0,1
2024-01-25,IE,1767,60,17,35336.24687348673,0,1
2024-01-26,IE,1727,66,10,21029.532852632987,0,1
2024-01-27,IE,1655,57,9,19144.683813270538,0,1
2024-01-28,IE,1816,74,10,20813.078163778137,1,1
2024-01-29,IE,1519,51,8,19733.161472250173,0,1
2024-01-30,IE,1693,57,12,29049.217017639778,0,1
2024-01-31,IE,1649,59,9,24245.963426007078,0,1
2024-02-01,IE,1655,62,12,24940.899931524837,0,1
2024-02-02,IE,1717,60,10,19791.0234061722,0,1
2024-02-03,IE,1636,41,11,20343.47558132187,0,1
2024-02-04,IE,1777,57,8,15598.756900785984,0,1
2024-02-05,IE,1624,56,11,24849.2555186801,0,1
